location,year,population,unemployment_rate,mean_household_income
Texas,2010,5410,5,67353
Texas,2010,131500,6,59619
Texas,2010,13535,5,51147
Texas,2010,22134,7,36137
Texas,2010,422679,7,80563
Texas,2010,42918,6,71324
Texas,2010,7110,7,50882
Texas,2010,59127,8,68306
Texas,2010,41964,8,54807
Texas,2010,7879,7,56950
Texas,2010,18550,4,58586
Texas,2010,14018,7,42526
Texas,2010,11677,10,30994
Utah,2010,6629,9,49383
Utah,2010,49975,5,62790
Utah,2010,112656,6,60927
Utah,2010,21403,7,51604
Utah,2010,1059,3,54316
Utah,2010,306479,5,80496
Utah,2010,18607,4,61808
Utah,2010,10976,3,55533
Utah,2010,5172,2,56863
Utah,2010,9225,6,47413
Utah,2010,46163,9,49911
Utah,2010,10246,6,59691
Utah,2010,7125,5,59384
Utah,2010,12503,7,55883
Utah,2010,9469,4,80701
Utah,2010,1556,5,48831
Utah,2010,2264,3,70323
Utah,2010,1029655,6,73018
Utah,2010,14746,6,48339
Utah,2010,27822,7,52080
Utah,2010,20802,5,54948
Utah,2010,36324,5,105578
Utah,2010,58218,5,68311
Utah,2010,32588,5,72625
Utah,2010,516564,6,71138
Utah,2010,23530,4,83870
Utah,2010,138115,7,61991
Utah,2010,2778,4,57978
Utah,2010,231236,7,64659
Vermont,2010,36821,6,68125
Vermont,2010,37125,6,65715
Vermont,2010,31227,7,54470
Vermont,2010,156545,5,76578
Vermont,2010,6306,8,45524
Vermont,2010,47746,6,62511
Vermont,2010,6970,6,70542
Vermont,2010,24475,5,63858
Vermont,2010,28936,6,62392
Vermont,2010,27231,7,49737
Vermont,2010,61642,8,59870
Vermont,2010,59534,6,66904
Vermont,2010,44513,6,61849
Vermont,2010,56670,6,66357
Virginia,2010,33164,9,53240
Virginia,2010,98970,4,92414
Virginia,2010,16250,6,52099
Virginia,2010,12690,7,60453
Virginia,2010,32353,6,53382
Virginia,2010,14973,8,54662
Virginia,2010,207627,3,121315
Virginia,2010,73750,5,59458
Virginia,2010,4731,3,51636
Virginia,2010,68676,5,68663
Virginia,2010,6824,6,51118
Virginia,2010,33148,4,75235
Virginia,2010,17434,8,42936
Virginia,2010,24098,13,39339
Virginia,2010,17146,6,44663
Virginia,2010,54842,6,52904
Virginia,2010,28545,9,66441
Virginia,2010,30042,8,43110
Virginia,2010,7256,8,59160
Virginia,2010,12586,11,44489
Virginia,2010,316236,6,86202
Virginia,2010,14034,4,89030
Virginia,2010,5190,2,59302
Virginia,2010,46689,6,77171
Virginia,2010,10052,8,48788
Virginia,2010,15903,9,37953
Virginia,2010,28001,8,62892
Virginia,2010,11151,5,56621
Virginia,2010,1081726,4,132662
Virginia,2010,65203,5,108415
Virginia,2010,15279,7,49735
Virginia,2010,25691,5,77723
Virginia,2010,56159,8,56141
Virginia,2010,78305,5,74296
Virginia,2010,17286,6,50509
Virginia,2010,36858,4,70855
Virginia,2010,21717,5,118743
Virginia,2010,15533,6,43410
Virginia,2010,18403,4,64657
Virginia,2010,12243,10,47394
Virginia,2010,36241,9,48123
Virginia,2010,99863,4,93067
Virginia,2010,306935,7,79782
Virginia,2010,54151,11,44803
Virginia,2010,2321,1,55024
Virginia,2010,35270,5,75272
Virginia,2010,67009,4,94445
Virginia,2010,6945,5,53732
Virginia,2010,23584,6,88715
Virginia,2010,15935,5,69924
Virginia,2010,11391,6,61342
Virginia,2010,25587,7,40406
Virginia,2010,312311,4,134098
Virginia,2010,33153,6,67737
Virginia,2010,12914,10,44601
Virginia,2010,13308,6,66572
Virginia,2010,8978,5,63648
Virginia,2010,32727,9,47981
Virginia,2010,10959,3,68497
Virginia,2010,94392,6,57963
Virginia,2010,15020,5,62095
Virginia,2010,18429,6,85393
Virginia,2010,12389,6,54245
Virginia,2010,12330,3,64437
Virginia,2010,15853,9,49499
Virginia,2010,33481,8,67311
Virginia,2010,24042,9,55300
Virginia,2010,18490,12,43763
Virginia,2010,63506,9,49063
Virginia,2010,28046,3,86678
Virginia,2010,23368,7,50546
Virginia,2010,35725,7,74424
Virginia,2010,402002,5,107100
Virginia,2010,34872,9,48809
Virginia,2010,7373,4,88431
Virginia,2010,9254,3,53407
Virginia,2010,92376,4,73842
Virginia,2010,22307,4,55331
Virginia,2010,76314,4,64465
Virginia,2010,28897,6,42183
Virginia,2010,23177,6,43435
Virginia,2010,41993,5,59464
Virginia,2010,32208,7,47228
Virginia,2010,18570,5,56048
Virginia,2010,122397,6,89554
Virginia,2010,128961,6,104404
Virginia,2010,7058,9,60434
Virginia,2010,12087,11,44129
Virginia,2010,45078,7,45666
Virginia,2010,37575,6,74331
Virginia,2010,54876,7,56075
Virginia,2010,17454,8,63747
Virginia,2010,41452,8,45174
Virginia,2010,29235,8,49444
Virginia,2010,65464,4,96476
Virginia,2010,139966,4,110671
Virginia,2010,6222,3,44472
Virginia,2010,17835,11,43185
Virginia,2010,6650,8,46036
Virginia,2010,43475,5,59240
Virginia,2010,222209,5,80152
Virginia,2010,17411,6,62289
Virginia,2010,5961,5,47572
Virginia,2010,43055,13,41637
Virginia,2010,5927,12,45090
Virginia,2010,22565,5,114007
Virginia,2010,12332,6,134264
Virginia,2010,8582,12,46900
Virginia,2010,24286,10,68655
Virginia,2010,7042,9,39006
Virginia,2010,137436,8,59272
Virginia,2010,48914,7,51836
Virginia,2010,22591,15,45400
Virginia,2010,7042,1,51349
Virginia,2010,75568,10,54876
Virginia,2010,37821,7,87414
Virginia,2010,14273,4,82359
Virginia,2010,13821,12,44416
Virginia,2010,180719,8,60302
Virginia,2010,242803,10,58469
Virginia,2010,3958,2,52902
Virginia,2010,32420,14,45331
Virginia,2010,12150,4,98105
Virginia,2010,95535,7,55397
Virginia,2010,16408,11,44287
Virginia,2010,204214,11,59212
Virginia,2010,97032,7,48757
Virginia,2010,24802,7,65750
Virginia,2010,23746,5,53478
Virginia,2010,84585,7,76353
Virginia,2010,437994,5,80180
Virginia,2010,21006,11,53443
Virginia,2010,14068,6,70514
Virginia,2010,26203,7,62639
Washington,2010,18728,11,51086
Washington,2010,21623,5,55177
Washington,2010,175177,6,71512
Washington,2010,72453,7,62691
Washington,2010,71404,7,54873
Washington,2010,425363,9,73005
Washington,2010,4078,10,58049
Washington,2010,102410,11,57338
Washington,2010,38431,7,60523
Washington,2010,7551,13,47139
Washington,2010,78163,8,59368
Washington,2010,2266,5,53457
Washington,2010,89120,10,54880
Washington,2010,72797,12,54087
Washington,2010,78506,7,68495
Washington,2010,29872,8,59664
Washington,2010,1931249,6,90716
Washington,2010,251133,9,74754
Washington,2010,40915,8,56492
Washington,2010,20318,7,50729
Washington,2010,75455,9,53655
Washington,2010,10570,5,56426
Washington,2010,60699,12,57466
Washington,2010,41120,9,49246
Washington,2010,20920,7,50967
Washington,2010,13001,8,51619
Washington,2010,795225,8,70845
Washington,2010,15769,3,70940
Washington,2010,116901,6,67484
Washington,2010,11066,9,58575
Washington,2010,713335,7,79208
Washington,2010,471221,8,61695
Washington,2010,43531,10,54065
Washington,2010,252264,7,72717
Washington,2010,3978,10,50612
Washington,2010,58781,7,59560
Washington,2010,201140,8,62066
Washington,2010,44776,6,50882
Washington,2010,243231,11,56213
West Virginia,2010,16589,6,43077
West Virginia,2010,104169,9,64806
West Virginia,2010,24629,7,49858
West Virginia,2010,14523,11,41538
West Virginia,2010,24069,9,53184
West Virginia,2010,96319,7,49930
West Virginia,2010,7627,8,40320
West Virginia,2010,9386,8,41500
West Virginia,2010,8202,6,35954
West Virginia,2010,46039,8,41633
West Virginia,2010,8693,9,40048
West Virginia,2010,11937,4,45465
West Virginia,2010,35480,7,45290
West Virginia,2010,23964,7,41359
West Virginia,2010,30676,10,53477
West Virginia,2010,14025,7,41733
West Virginia,2010,69099,7,50365
West Virginia,2010,29211,9,51015
West Virginia,2010,53498,6,79602
West Virginia,2010,193063,7,57998
West Virginia,2010,16372,6,44425
West Virginia,2010,21720,9,41160
West Virginia,2010,36743,9,45153
West Virginia,2010,22113,6,31002
West Virginia,2010,56418,6,49414
West Virginia,2010,33107,10,49824
West Virginia,2010,27324,10,47126
West Virginia,2010,62264,7,42972
West Virginia,2010,28212,8,49370
West Virginia,2010,26839,10,43144
West Virginia,2010,96189,5,56881
West Virginia,2010,13502,8,46280
West Virginia,2010,17541,12,46251
West Virginia,2010,26233,8,48257
West Virginia,2010,44443,7,54785
West Virginia,2010,7695,3,42711
West Virginia,2010,7605,10,46942
West Virginia,2010,8719,7,43631
West Virginia,2010,33520,6,48846
West Virginia,2010,55486,4,66280
West Virginia,2010,78859,7,49692
West Virginia,2010,29405,7,46278
West Virginia,2010,10449,8,43785
West Virginia,2010,14926,8,36229
West Virginia,2010,13927,5,36674
West Virginia,2010,16895,7,45982
West Virginia,2010,7141,5,45313
West Virginia,2010,9208,11,43110
West Virginia,2010,24254,6,46940
West Virginia,2010,42481,7,44801
West Virginia,2010,9154,10,38313
West Virginia,2010,16583,7,47239
West Virginia,2010,5717,13,44584
West Virginia,2010,86956,8,53912
West Virginia,2010,23796,5,44077
Wisconsin,2010,20875,8,49775
Wisconsin,2010,16157,9,46362
Wisconsin,2010,45870,7,53142
Wisconsin,2010,15014,7,53624
Wisconsin,2010,248007,6,66675
Wisconsin,2010,13587,5,53664
Wisconsin,2010,15457,10,50175
Wisconsin,2010,48971,4,72314
Wisconsin,2010,62415,7,59115
Wisconsin,2010,34690,6,52010
Wisconsin,2010,56833,5,66064
Wisconsin,2010,16644,6,50207
Wisconsin,2010,488073,5,77443
Wisconsin,2010,88759,6,60902
Wisconsin,2010,27785,6,60983
Wisconsin,2010,44159,6,56177
Wisconsin,2010,43857,8,57231
Wisconsin,2010,98736,6,60587
Wisconsin,2010,4423,6,45746
Wisconsin,2010,101633,7,62287
Wisconsin,2010,9304,9,47440
Wisconsin,2010,51208,4,53074
Wisconsin,2010,36842,5,66000
Wisconsin,2010,19051,6,59239
Wisconsin,2010,23687,5,61897
Wisconsin,2010,5916,8,42869
Wisconsin,2010,20449,5,51867
Wisconsin,2010,83686,7,63592
Wisconsin,2010,26664,8,55048
Wisconsin,2010,166426,8,68299
Wisconsin,2010,20574,5,60991
Wisconsin,2010,114638,5,60772
Wisconsin,2010,16836,4,55644
Wisconsin,2010,19977,8,51345
Wisconsin,2010,28743,5,54989
Wisconsin,2010,81442,7,59547
Wisconsin,2010,134063,7,64808
Wisconsin,2010,41749,8,51045
Wisconsin,2010,15404,9,53081
Wisconsin,2010,4232,21,42690
Wisconsin,2010,947735,9,57317
Wisconsin,2010,44673,5,57651
Wisconsin,2010,37660,8,57487
Wisconsin,2010,35998,6,60495
Wisconsin,2010,176695,6,67461
Wisconsin,2010,86395,5,100115
Wisconsin,2010,7469,6,57821
Wisconsin,2010,41019,6,70532
Wisconsin,2010,44205,7,59596
Wisconsin,2010,70019,6,62396
Wisconsin,2010,14159,7,50012
Wisconsin,2010,195408,8,66704
Wisconsin,2010,18021,6,51441
Wisconsin,2010,160331,9,60090
Wisconsin,2010,14755,7,47296
Wisconsin,2010,84345,6,81571
Wisconsin,2010,61976,5,60804
Wisconsin,2010,16557,9,51580
Wisconsin,2010,41949,8,55003
Wisconsin,2010,115507,6,61505
Wisconsin,2010,20689,7,53939
Wisconsin,2010,28816,5,56998
Wisconsin,2010,29773,5,54087
Wisconsin,2010,21430,9,57493
Wisconsin,2010,102228,7,68580
Wisconsin,2010,15911,7,51905
Wisconsin,2010,131887,5,77118
Wisconsin,2010,389891,5,93309
Wisconsin,2010,52410,7,55231
Wisconsin,2010,24496,8,51553
Wisconsin,2010,166994,6,64666
Wisconsin,2010,74749,6,58152
Wyoming,2010,36299,4,59741
Wyoming,2010,11668,5,62345
Wyoming,2010,46133,4,85908
Wyoming,2010,15885,5,65841
Wyoming,2010,13833,4,66076
Wyoming,2010,7083,2,58495
Wyoming,2010,40123,7,59780
Wyoming,2010,13249,3,54802
Wyoming,2010,4812,2,53174
Wyoming,2010,8569,3,61579
Wyoming,2010,91738,5,66689
Wyoming,2010,18106,6,64182
Wyoming,2010,75450,5,68760
Wyoming,2010,2484,3,57504
Wyoming,2010,28205,4,60890
Wyoming,2010,8667,4,54611
Wyoming,2010,29116,3,60581
Wyoming,2010,10247,4,84291
Wyoming,2010,43806,5,80259
Wyoming,2010,21294,4,104432
Wyoming,2010,21118,6,68051
Wyoming,2010,8533,4,66946
Wyoming,2010,7208,2,63480
Alabama,2011,55267,8,66457
Alabama,2011,186717,8,67770
Alabama,2011,27119,13,42287
Alabama,2011,22766,10,50574
Alabama,2011,57677,9,55558
Alabama,2011,10542,16,50935
Alabama,2011,20650,12,41259
Alabama,2011,117797,12,51382
Alabama,2011,33939,15,42625
Alabama,2011,26057,13,50070
Alabama,2011,43895,11,54452
Alabama,2011,13609,16,44930
Alabama,2011,25695,15,47093
Alabama,2011,13862,11,43768
Alabama,2011,14835,13,49767
Alabama,2011,50526,7,57752
Alabama,2011,54512,9,51607
Alabama,2011,13105,20,44239
Alabama,2011,10713,14,48836
Alabama,2011,38058,10,49583
Alabama,2011,13911,9,53009
Alabama,2011,80536,9,51374
Alabama,2011,50044,9,54817
Alabama,2011,43332,17,43028
Alabama,2011,71375,10,49004
Alabama,2011,80162,9,65836
Alabama,2011,38095,12,43175
Alabama,2011,104303,10,51330
Alabama,2011,17182,7,43045
Alabama,2011,31884,8,47503
Alabama,2011,26781,9,47285
Alabama,2011,8921,21,38467
Alabama,2011,15421,15,41392
Alabama,2011,17412,13,49068
Alabama,2011,102369,7,57537
Alabama,2011,53291,9,47438
Alabama,2011,658931,9,66409
Alabama,2011,14311,10,49427
Alabama,2011,92781,8,53161
Alabama,2011,34117,11,49098
Alabama,2011,143468,9,56979
Alabama,2011,85369,8,62843
Alabama,2011,11147,16,46229
Alabama,2011,21182,13,42088
Alabama,2011,340111,9,76342
Alabama,2011,20692,11,47426
Alabama,2011,30663,9,43452
Alabama,2011,94166,8,53044
Alabama,2011,412577,10,56992
Alabama,2011,22760,13,42652
Alabama,2011,232032,9,62645
Alabama,2011,119953,9,59417
Alabama,2011,10373,15,38353
Alabama,2011,19349,14,39644
Alabama,2011,32915,10,46449
Alabama,2011,22787,11,51041
Alabama,2011,54572,12,44152
Alabama,2011,84398,10,60603
Alabama,2011,197936,7,88876
Alabama,2011,13478,18,33896
Alabama,2011,81664,14,47232
Alabama,2011,41623,10,56213
Alabama,2011,197211,7,59033
Alabama,2011,66661,13,51787
Alabama,2011,17344,16,51337
Alabama,2011,11482,25,36605
Alabama,2011,24327,9,45115
Alaska,2011,3172,6,67263
Alaska,2011,5504,4,82729
Alaska,2011,295570,7,94073
Alaska,2011,17416,17,69727
Alaska,2011,1030,9,91508
Alaska,2011,1855,3,83741
Alaska,2011,4975,15,74417
Alaska,2011,99192,7,81952
Alaska,2011,2554,10,66432
Alaska,2011,32164,5,93994
Alaska,2011,56293,9,73367
Alaska,2011,13593,8,71835
Alaska,2011,13872,7,75206
Alaska,2011,1668,10,59655
Alaska,2011,91946,10,81319
Alaska,2011,9856,17,67008
Alaska,2011,9503,16,85856
Alaska,2011,7733,26,69215
Alaska,2011,8952,7,79736
Alaska,2011,7132,10,70878
Alaska,2011,9770,10,77849
Alaska,2011,7662,27,48736
Alaska,2011,646,4,85346
Alaska,2011,5656,24,48366
Arizona,2011,72401,19,41584
Arizona,2011,133289,9,59099
Arizona,2011,134511,8,63513
Arizona,2011,53144,7,48895
Arizona,2011,37147,10,51163
Arizona,2011,8606,14,52073
Arizona,2011,20419,8,42936
Arizona,2011,3880244,8,74071
Arizona,2011,202351,12,51957
Arizona,2011,107398,15,50506
Arizona,2011,989569,9,62891
Arizona,2011,382992,10,60945
Arizona,2011,47676,13,55472
Arizona,2011,211888,9,59676
Arizona,2011,200870,12,52458
Arkansas,2011,18892,8,51988
Arkansas,2011,21692,10,46711
Arkansas,2011,41536,9,48225
Arkansas,2011,227556,6,69311
Arkansas,2011,37051,6,51949
Arkansas,2011,11482,7,45772
Arkansas,2011,5144,6,39311
Arkansas,2011,27512,8,48745
Arkansas,2011,11721,11,40051
Arkansas,2011,22858,10,48255
Arkansas,2011,15880,13,42247
Arkansas,2011,25901,8,50548
Arkansas,2011,8672,9,48662
Arkansas,2011,24401,10,50456
Arkansas,2011,21270,9,48317
Arkansas,2011,98315,9,57343
Arkansas,2011,61944,7,49093
Arkansas,2011,50525,13,49387
Arkansas,2011,17781,9,46817
Arkansas,2011,8072,12,41289
Arkansas,2011,12763,13,45709
Arkansas,2011,18467,12,44414
Arkansas,2011,116342,8,60997
Arkansas,2011,18047,10,48674
Arkansas,2011,12296,12,43263
Arkansas,2011,97124,9,53158
Arkansas,2011,17988,7,59606
Arkansas,2011,42720,8,48315
Arkansas,2011,22541,9,45130
Arkansas,2011,32881,11,47542
Arkansas,2011,13886,7,49248
Arkansas,2011,36861,7,48926
Arkansas,2011,13419,11,41768
Arkansas,2011,17866,12,41948
Arkansas,2011,76246,14,50027
Arkansas,2011,25742,7,46650
Arkansas,2011,7516,12,44703
Arkansas,2011,17178,9,38506
Arkansas,2011,10326,18,33199
Arkansas,2011,14006,11,47487
Arkansas,2011,12996,8,48511
Arkansas,2011,22290,9,49800
Arkansas,2011,69341,7,60400
Arkansas,2011,15776,7,47310
Arkansas,2011,16573,8,44740
Arkansas,2011,43759,9,50281
Arkansas,2011,45966,13,47918
Arkansas,2011,8075,10,40020
Arkansas,2011,9433,7,50267
Arkansas,2011,9017,14,49298
Arkansas,2011,8264,4,39500
Arkansas,2011,25880,13,44183
Arkansas,2011,10405,5,50903
Arkansas,2011,21442,18,41154
Arkansas,2011,11259,10,44875
Arkansas,2011,24514,13,41857
Arkansas,2011,20610,6,44723
Arkansas,2011,62331,8,52254
Arkansas,2011,8618,5,43346
Arkansas,2011,386299,8,65615
Arkansas,2011,18017,8,46251
Arkansas,2011,27970,13,38041
Arkansas,2011,109526,6,64491
Arkansas,2011,11272,9,46671
Arkansas,2011,8036,6,34843
Arkansas,2011,127127,7,58619
Arkansas,2011,17293,10,43150
Arkansas,2011,17380,10,37254
Arkansas,2011,12603,7,39064
Arkansas,2011,41427,9,51393
Arkansas,2011,17083,10,42978
Arkansas,2011,207521,7,59173
Arkansas,2011,78167,7,54497
Arkansas,2011,7229,10,42648
Arkansas,2011,22060,7,46340
California,2011,1529875,9,94035
California,2011,1102,9,81595
California,2011,37953,15,73405
California,2011,220266,13,57911
California,2011,45052,9,68942
California,2011,21549,14,62210
California,2011,1066096,10,104712
California,2011,28659,10,51726
California,2011,180938,10,88422
California,2011,942904,13,64189
California,2011,28128,10,59375
California,2011,134761,10,57356
California,2011,177057,16,55874
California,2011,18478,7,62042
California,2011,851710,13,63893
California,2011,153765,13,62379
California,2011,64323,13,53777
California,2011,34200,10,63417
California,2011,9889056,10,81636
California,2011,152925,11,62827
California,2011,255031,6,130703
California,2011,18191,13,61656
California,2011,87553,11,58079
California,2011,259898,15,60033
California,2011,9517,9,49554
California,2011,14309,8,69593
California,2011,421898,11,80672
California,2011,138088,8,94894
California,2011,98612,9,74488
California,2011,3055745,8,101382
California,2011,357138,8,92249
California,2011,19765,14,58752
California,2011,2239620,13,75907
California,2011,1436105,12,73150
California,2011,56072,11,82360
California,2011,2065377,13,70778
California,2011,3140069,9,84949
California,2011,812826,8,105753
California,2011,696214,14,71083
California,2011,271969,8,77132
California,2011,727209,7,123451
California,2011,426878,8,86740
California,2011,1809378,9,116722
California,2011,264298,8,89277
California,2011,177774,12,58926
California,2011,3113,11,56825
California,2011,44507,13,50121
California,2011,416471,10,84603
California,2011,488116,9,84011
California,2011,518522,14,65754
California,2011,94919,14,64889
California,2011,63601,14,53244
California,2011,13723,15,51881
California,2011,449253,14,58931
California,2011,54953,13,63178
California,2011,831771,8,97940
California,2011,202054,10,79168
California,2011,72578,17,59063
Colorado,2011,451443,9,68274
Colorado,2011,15710,10,53005
Colorado,2011,584948,7,81282
Colorado,2011,12013,12,78731
Colorado,2011,3795,2,48694
Colorado,2011,6250,12,44944
Colorado,2011,299378,7,92124
Colorado,2011,57352,7,94543
Colorado,2011,17932,8,59345
Colorado,2011,1876,6,55528
Colorado,2011,9012,6,77398
Colorado,2011,8291,8,46454
Colorado,2011,3662,11,41157
Colorado,2011,5736,13,52685
Colorado,2011,4205,12,58567
Colorado,2011,30451,10,56267
Colorado,2011,619968,8,71297
Colorado,2011,2056,10,50691
Colorado,2011,292167,5,120599
Colorado,2011,51854,5,100722
Colorado,2011,23174,7,94473
Colorado,2011,636963,8,73850
Colorado,2011,47347,8,51746
Colorado,2011,56270,7,74810
Colorado,2011,5467,5,71846
Colorado,2011,14548,4,76082
Colorado,2011,15408,7,67491
Colorado,2011,830,2,84981
Colorado,2011,6520,12,47223
Colorado,2011,1370,3,53742
Colorado,2011,539884,7,86035
Colorado,2011,1433,2,56898
Colorado,2011,8142,5,54035
Colorado,2011,7427,5,50397
Colorado,2011,51917,6,73502
Colorado,2011,305525,8,74239
Colorado,2011,15037,8,53334
Colorado,2011,5454,9,61862
Colorado,2011,22619,8,57758
Colorado,2011,147083,7,68431
Colorado,2011,708,2,97120
Colorado,2011,13451,6,59767
Colorado,2011,25442,10,59778
Colorado,2011,41011,9,57576
Colorado,2011,28175,8,52122
Colorado,2011,18865,13,42733
Colorado,2011,4356,9,75850
Colorado,2011,16089,7,71273
Colorado,2011,4399,5,50853
Colorado,2011,17102,5,122136
Colorado,2011,12549,6,48082
Colorado,2011,160545,10,54454
Colorado,2011,6782,6,71173
Colorado,2011,11956,11,50208
Colorado,2011,23239,4,80890
Colorado,2011,6228,13,45396
Colorado,2011,692,13,44380
Colorado,2011,7490,5,97179
Colorado,2011,2364,7,51101
Colorado,2011,27972,6,82637
Colorado,2011,23356,8,69703
Colorado,2011,4770,3,57597
Colorado,2011,258638,7,69712
Colorado,2011,10100,3,55725
Connecticut,2011,925899,9,132045
Connecticut,2011,894705,9,84961
Connecticut,2011,188789,7,91321
Connecticut,2011,166043,6,96654
Connecticut,2011,861113,9,82160
Connecticut,2011,273502,7,83884
Connecticut,2011,152507,6,93033
Connecticut,2011,118151,10,71288
Delaware,2011,164834,8,64599
Delaware,2011,541971,8,83725
Delaware,2011,200330,8,68140
District of Columbia,2011,617996,10,96183
District of Columbia,2011,617996,10,96183
Florida,2011,249365,7,61392
Florida,2011,27154,11,60106
Florida,2011,169856,8,60798
Florida,2011,28255,13,50957
Florida,2011,543566,11,66517
Florida,2011,1780172,11,72242
Florida,2011,14750,11,41239
Florida,2011,160511,13,58833
Florida,2011,140031,15,51311
Florida,2011,192370,10,72870
Florida,2011,328134,10,94212
Florida,2011,67485,16,49925
Florida,2011,34894,10,47338
Florida,2011,16486,11,44819
Florida,2011,870709,10,65839
Florida,2011,299114,11,59630
Florida,2011,97376,10,60611
Florida,2011,11596,10,51840
Florida,2011,46151,13,46372
Florida,2011,17004,12,50701
Florida,2011,12635,11,49478
Florida,2011,15844,11,49654
Florida,2011,14671,13,48899
Florida,2011,27887,12,51720
Florida,2011,39089,16,48507
Florida,2011,173094,14,53374
Florida,2011,98630,13,45768
Florida,2011,1267775,10,69276
Florida,2011,19873,9,42421
Florida,2011,138894,12,73182
Florida,2011,49292,9,50587
Florida,2011,14658,11,52413
Florida,2011,8942,6,57209
Florida,2011,301019,10,62112
Florida,2011,631330,12,70175
Florida,2011,277971,9,64688
Florida,2011,40156,13,47369
Florida,2011,8314,21,51381
Florida,2011,19115,9,46416
Florida,2011,327142,11,65825
Florida,2011,332529,13,53407
Florida,2011,147495,11,84450
Florida,2011,2554766,10,65652
Florida,2011,73873,6,82274
Florida,2011,74195,9,75288
Florida,2011,183482,8,70121
Florida,2011,40140,12,53768
Florida,2011,1169107,10,68054
Florida,2011,276163,11,57206
Florida,2011,1335187,11,81578
Florida,2011,466457,11,58074
Florida,2011,917398,9,64111
Florida,2011,609492,11,57426
Florida,2011,74041,13,45803
Florida,2011,195823,7,92106
Florida,2011,280379,14,58695
Florida,2011,154104,10,69407
Florida,2011,382213,11,71767
Florida,2011,425071,9,79008
Florida,2011,97756,11,55355
Florida,2011,41972,9,47740
Florida,2011,22691,15,49927
Florida,2011,15388,11,53970
Florida,2011,494804,9,58334
Florida,2011,30978,10,61468
Florida,2011,55793,10,64714
Florida,2011,24935,12,47594
Georgia,2011,18420,7,46788
Georgia,2011,8413,13,43724
Georgia,2011,11203,6,43168
Georgia,2011,3085,10,45405
Georgia,2011,44417,9,48651
Georgia,2011,18251,9,53673
Georgia,2011,69912,11,58582
Georgia,2011,100421,9,61823
Georgia,2011,17673,12,42575
Georgia,2011,19372,11,43169
Georgia,2011,156433,10,56548
Georgia,2011,13290,7,51315
Georgia,2011,18367,10,47430
Georgia,2011,15889,12,55738
Georgia,2011,31377,7,78991
Georgia,2011,72881,8,48373
Georgia,2011,23504,10,42248
Georgia,2011,23504,12,58918
Georgia,2011,6740,6,41783
Georgia,2011,50410,9,59066
Georgia,2011,11276,10,47062
Georgia,2011,111159,12,57058
Georgia,2011,64530,8,57651
Georgia,2011,13422,13,51278
Georgia,2011,271544,8,63073
Georgia,2011,11749,10,57795
Georgia,2011,25736,11,40539
Georgia,2011,218286,7,82591
Georgia,2011,117344,7,51588
Georgia,2011,3111,23,32870
Georgia,2011,261532,14,52521
Georgia,2011,6777,6,40445
Georgia,2011,697553,9,87529
Georgia,2011,42864,8,47571
Georgia,2011,45645,8,47837
Georgia,2011,128112,6,82880
Georgia,2011,17125,12,48755
Georgia,2011,129629,7,71379
Georgia,2011,12567,8,51032
Georgia,2011,23710,12,43660
Georgia,2011,16570,11,55737
Georgia,2011,22459,10,67466
Georgia,2011,27694,8,47053
Georgia,2011,699893,13,72329
Georgia,2011,21894,9,44185
Georgia,2011,14587,10,44910
Georgia,2011,94788,14,48502
Georgia,2011,133355,12,68050
Georgia,2011,10778,9,44566
Georgia,2011,4129,11,42353
Georgia,2011,52655,7,68401
Georgia,2011,19886,12,45115
Georgia,2011,22567,12,42982
Georgia,2011,11065,7,47800
Georgia,2011,23708,12,46459
Georgia,2011,107784,7,98083
Georgia,2011,95989,10,56491
Georgia,2011,181840,7,105636
Georgia,2011,21864,8,48165
Georgia,2011,949599,10,91626
Georgia,2011,28324,9,50744
Georgia,2011,3084,7,45652
Georgia,2011,80386,9,68753
Georgia,2011,55621,9,50526
Georgia,2011,25255,11,46099
Georgia,2011,16031,12,61085
Georgia,2011,824941,9,78568
Georgia,2011,43279,8,54290
Georgia,2011,183052,8,70629
Georgia,2011,9400,15,33617
Georgia,2011,28638,15,51235
Georgia,2011,32265,7,84027
Georgia,2011,25305,9,48212
Georgia,2011,11744,13,45831
Georgia,2011,207360,10,74179
Georgia,2011,143925,9,67085
Georgia,2011,9679,9,48446
Georgia,2011,61257,8,62369
Georgia,2011,13885,14,54790
Georgia,2011,15162,9,43643
Georgia,2011,16675,14,39187
Georgia,2011,8148,15,41993
Georgia,2011,9975,8,46702
Georgia,2011,28516,8,61658
Georgia,2011,18194,19,49097
Georgia,2011,10404,8,48469
Georgia,2011,47949,6,50724
Georgia,2011,28575,7,69671
Georgia,2011,65451,11,54059
Georgia,2011,7862,13,48177
Georgia,2011,15136,8,44274
Georgia,2011,111885,11,53279
Georgia,2011,30031,11,54506
Georgia,2011,21673,9,45937
Georgia,2011,14170,9,49407
Georgia,2011,14405,11,38755
Georgia,2011,27921,8,52515
Georgia,2011,8746,13,43739
Georgia,2011,21617,12,46270
Georgia,2011,6141,8,45501
Georgia,2011,23462,10,46570
Georgia,2011,26625,9,63957
Georgia,2011,9065,5,46155
Georgia,2011,17961,9,73082
Georgia,2011,39557,13,45281
Georgia,2011,194107,10,57006
Georgia,2011,100814,13,60346
Georgia,2011,33366,6,96193
Georgia,2011,14686,7,54350
Georgia,2011,143542,10,69127
Georgia,2011,27823,12,53603
